BSU number Source,Source,BSU number target,Target,beta.mean,var.exp.rank.mean,"prior (Interaction (0=novel, -1=recovered prior repression, 1=recovered prior activation)"
BSU14480,abh,BSU02330,ybfQ,0.175,42355.448,0
BSU14480,abh,BSU03480,srfAA,-0.233,28671.545,-1
BSU14480,abh,BSU03490,srfAB,-0.291,17567.513,-1
BSU14480,abh,BSU03500,comS,-0.285,19414.78,-1
BSU14480,abh,BSU03510,srfAC,-0.2,29166.438,-1
BSU14480,abh,BSU03520,srfAD,-0.189,28880.583,-1
BSU14480,abh,BSU05280,ydeO,0.196,42912.065,0
BSU14480,abh,BSU07750,yflA,-0.159,43201.478,-1
BSU14480,abh,BSU14890,ctaC,-0.543,1137.345,-1
BSU14480,abh,BSU14900,ctaD,-0.592,888.32,-1
BSU14480,abh,BSU14910,ctaE,-0.609,793.35,-1
BSU14480,abh,BSU14920,ctaF,-0.598,857.92,-1
BSU14480,abh,BSU14930,ctaG,-0.557,1072.02,-1
BSU14480,abh,BSU22540,qcrC,-0.269,21217.64,0
BSU14480,abh,BSU25190,cccA,-0.282,22095.59,0
BSU14480,abh,BSU25280,recO,-0.193,40204.175,0
BSU14480,abh,BSU25290,era,-0.2,35695.217,0
BSU14480,abh,BSU25300,cdd,-0.159,42790.652,0
BSU14480,abh,BSU28550,fadR,-0.24,31202.897,0
BSU14480,abh,BSU29249,ytzJ,-0.169,41514.485,0
BSU14480,abh,BSU31690,comP,-0.234,41545.155,0
BSU14480,abh,BSU36460,ywoF,-0.254,26013.842,-1
BSU14480,abh,BSU38230,ywcB,-0.131,43364.717,0
BSU00370,abrB,BSU00490,spoVG,-0.339,4436.635,-1
BSU00370,abrB,BSU00980,sigH,-0.356,19676.667,-1
BSU00370,abrB,BSU01510,ybaJ,-0.26,29254.91,-1
BSU00370,abrB,BSU01910,skfA,-0.263,24349.875,-1
BSU00370,abrB,BSU01920,skfB,-0.577,2353.42,-1
BSU00370,abrB,BSU01935,skfC,-0.639,1618.205,-1
BSU00370,abrB,BSU01950,skfE,-0.554,1670.335,-1
BSU00370,abrB,BSU01960,skfF,-0.559,2167.94,-1
BSU00370,abrB,BSU01970,skfG,-0.551,2277.81,-1
BSU00370,abrB,BSU01980,skfH,-0.558,2656.135,-1
BSU00370,abrB,BSU01990,ybdG,-0.513,16358.36,0
BSU00370,abrB,BSU02040,ybdN,-0.703,1732.485,-1
BSU00370,abrB,BSU02050,ybdO,-0.577,1548.05,-1
BSU00370,abrB,BSU02310,ybfO,-0.338,16676.495,-1
BSU00370,abrB,BSU02320,ybfP,-0.287,40940.948,-1
BSU00370,abrB,BSU02520,ycbJ,-0.244,30815.268,-1
BSU00370,abrB,BSU02700,lip,-0.379,7615.898,-1
BSU00370,abrB,BSU02780,ycdA,-0.127,39205.96,-1
BSU00370,abrB,BSU03480,srfAA,-0.299,32689.963,0
BSU00370,abrB,BSU03490,srfAB,-0.402,20651.045,0
BSU00370,abrB,BSU03500,comS,-0.419,18471.298,0
BSU00370,abrB,BSU03510,srfAC,-0.302,31959.085,0
BSU00370,abrB,BSU03520,srfAD,-0.346,27500.64,0
BSU00370,abrB,BSU05200,ydeH,-0.505,5678.02,-1
BSU00370,abrB,BSU05220,ydeJ,-0.348,32593.835,-1
BSU00370,abrB,BSU05810,gmuB,0.385,18729.985,1
BSU00370,abrB,BSU05820,gmuA,0.329,30955.472,1
BSU00370,abrB,BSU05830,gmuC,0.376,26723.535,1
BSU00370,abrB,BSU05840,gmuD,0.478,14202.632,1
BSU00370,abrB,BSU05860,gmuE,0.356,23698.287,1
BSU00370,abrB,BSU05870,gmuF,0.339,23897.085,1
BSU00370,abrB,BSU06076,ydzW/3,-0.231,39911.14,0
BSU00370,abrB,BSU06240,bdhA,-0.412,11607.045,-1
BSU00370,abrB,BSU06269,ydzJ,-0.331,28976.445,0
BSU00370,abrB,BSU06640,yerI,-0.432,18554.01,-1
BSU00370,abrB,BSU06812,yeeF,-0.413,20442.03,0
BSU00370,abrB,BSU06830,rapH,-0.14,41857.495,-1
BSU00370,abrB,BSU07460,yfmI,-0.652,2394.945,-1
BSU00370,abrB,BSU07480,yfmG,-0.816,758.595,-1
BSU00370,abrB,BSU07560,pel,-0.27,40070.757,0
BSU00370,abrB,BSU07750,yflA,-0.104,41813.915,-1
BSU00370,abrB,BSU08029,yfzA,-0.306,42108.332,0
BSU00370,abrB,BSU09290,glpK,0.18,38732.48,1
BSU00370,abrB,BSU09890,yhaQ,-0.294,12340.54,-1
BSU00370,abrB,BSU09900,yhaP,-0.231,21438.57,-1
BSU00370,abrB,BSU09990,scoC,0.53,1035.23,1
BSU00370,abrB,BSU10300,aprE,-0.128,44122.457,-1
BSU00370,abrB,BSU10420,comK,-0.424,27683.338,-1
BSU00370,abrB,BSU10560,ntdR,-0.486,3788.275,-1
BSU00370,abrB,BSU11910,yjcM,-0.215,24493.597,-1
BSU00370,abrB,BSU11990,yjdB,-0.357,16675.272,-1
BSU00370,abrB,BSU12040,yjdG,-0.352,5271.775,-1
BSU00370,abrB,BSU12070,yjdJ,-0.35,19129.525,0
BSU00370,abrB,BSU12080,ctaO,-0.313,12219.775,-1
BSU00370,abrB,BSU13070,ykkA,-0.276,33543.997,0
BSU00370,abrB,BSU13080,ykkB,-0.244,42058.548,0
BSU00370,abrB,BSU13530,kinE,-0.282,21258.865,0
BSU00370,abrB,BSU13640,spo0E,-0.4,10445.605,-1
BSU00370,abrB,BSU13980,pbpH,-0.347,27366.405,-1
BSU00370,abrB,BSU13990,kinA,-0.321,19814.71,0
BSU00370,abrB,BSU14220,ykuU,-0.465,15508.017,-1
BSU00370,abrB,BSU14230,ykuV,-0.312,21259.583,-1
BSU00370,abrB,BSU14340,yknW,-0.455,5489.977,-1
BSU00370,abrB,BSU14350,yknX,-0.366,3394.64,-1
BSU00370,abrB,BSU14360,yknY,-0.345,5414.092,-1
BSU00370,abrB,BSU14370,yknZ,-0.367,4213.118,-1
BSU00370,abrB,BSU14690,yktD,-0.372,20314.583,0
BSU00370,abrB,BSU14750,ylaE,-0.196,31734.857,-1
BSU00370,abrB,BSU14890,ctaC,-0.431,2057.6,-1
BSU00370,abrB,BSU14900,ctaD,-0.418,2166.3,-1
BSU00370,abrB,BSU14910,ctaE,-0.417,1700.95,-1
BSU00370,abrB,BSU14920,ctaF,-0.413,2533.78,-1
BSU00370,abrB,BSU14930,ctaG,-0.39,2815.27,-1
BSU00370,abrB,BSU14940,ylbA,-0.235,37121.978,-1
BSU00370,abrB,BSU15300,bpr,-0.187,39016.293,0
BSU00370,abrB,BSU15960,sivC,-0.468,2645.832,-1
BSU00370,abrB,BSU17100,pksC,-0.24,39215.798,0
BSU00370,abrB,BSU17110,pksD,-0.427,10615.802,0
BSU00370,abrB,BSU17120,pksE,-0.466,10157.468,0
BSU00370,abrB,BSU17130,acpK,-0.318,26609.213,0
BSU00370,abrB,BSU17140,pksF,-0.382,24525.01,0
BSU00370,abrB,BSU17150,pksG,-0.332,24854.393,0
BSU00370,abrB,BSU17160,pksH,-0.452,18257.252,0
BSU00370,abrB,BSU17170,pksI,-0.478,14471.885,0
BSU00370,abrB,BSU17180,pksJ,-0.272,29319.495,0
BSU00370,abrB,BSU17190,pksL,-0.335,17865.838,0
BSU00370,abrB,BSU17200,pksM,-0.505,9538.075,0
BSU00370,abrB,BSU17210,pksN,-0.314,25021.827,0
BSU00370,abrB,BSU17220,pksR,-0.223,35704.702,0
BSU00370,abrB,BSU17240,ymzB,-0.28,32751.632,-1
BSU00370,abrB,BSU17250,ymaE,-0.656,1664.2,-1
BSU00370,abrB,BSU17350,ymzC,-0.276,38554.095,0
BSU00370,abrB,BSU17690,yncM,-0.445,20344.518,-1
BSU00370,abrB,BSU17920,ynzD,-0.171,41375.717,-1
BSU00370,abrB,BSU18150,xynC,-0.232,39262.628,-1
BSU00370,abrB,BSU18160,xynD,-0.369,24519.283,-1
BSU00370,abrB,BSU18300,ppsE,-0.792,1797.57,-1
BSU00370,abrB,BSU18330,ppsB,-0.665,5685.755,-1
BSU00370,abrB,BSU18340,ppsA,-0.387,12542.288,-1
BSU00370,abrB,BSU18350,dacC,-0.189,33535.658,0
BSU00370,abrB,BSU18360,galM,-0.188,33520.105,0
BSU00370,abrB,BSU18370,yoeA,-0.351,32239.368,0
BSU00370,abrB,BSU18780,yoaW,-0.276,26093.877,-1
